,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Expected Price ($1k),Year
19265,1,1,87,0,21,42.0,2016
19271,0,2,29,0,32,21.53,2019
19284,0,2,21,0,3,40.0,2021
19287,0,2,22,0,3,25.0,2018
19298,0,2,17,0,49,43.0,2021
19302,0,2,6,0,32,18.0,2012
19306,0,2,26,28500,49,22.0,2019
19324,1,1,84,0,36,19.0,2016
19326,1,1,308,0,21,50.0,2020
19328,1,1,234,0,46,52.9,2019
19337,0,2,26,0,5,24.0,2020
19341,0,2,10,0,46,34.5,2019
19344,0,2,16,52650,26,37.0,2018
19349,1,1,87,0,42,13.0,2014
19355,0,1,47,0,49,30.8,2020
19358,1,1,200,0,31,70.0,2016
19364,1,0,0,0,35,78.0,2022
19368,0,2,16,0,42,18.86,2016
19377,0,2,18,0,17,28.4,2021
19380,1,0,0,0,46,32.3,2022
19386,0,2,14,0,17,46.745,2017
19394,0,2,20,0,32,21.0,2017
19400,1,0,0,0,36,24.69,2022
19404,1,0,0,0,27,24.69,2021
19407,1,1,233,0,23,58.6,2021
19415,1,1,239,38500,39,22.3,2019
19421,1,1,238,0,17,90.0,2018
19427,0,2,19,0,36,18.5,2015
19438,1,1,125,0,37,32.0,2017
19455,0,2,19,0,5,17.0,2015
19458,1,1,330,0,22,105.0,2020
19478,0,1,38,0,31,26.0,2021
19481,1,1,81,0,11,19.0,2016
19485,0,2,26,0,10,21.258,2019
19520,0,2,26,28500,1,22.0,2019
19523,1,1,84,0,22,12.0,2017
19526,1,0,0,0,5,114.99,2022
19531,0,2,17,0,47,43.0,2021
19534,0,2,21,0,18,42.0,2019
19535,0,2,9,0,44,32.4,2018
19537,1,1,265,59900,45,33.8,2012
19544,1,1,100,0,9,21.0,2018
19545,0,2,21,0,22,19.0,2018
19549,1,1,125,0,34,20.031,2018
19555,0,2,10,0,36,34.5,2019
19572,0,2,29,0,11,20.998,2017
19592,0,2,25,0,20,34.5,2019
19596,0,2,26,28500,46,22.0,2019
19597,1,1,204,0,44,59.979,2019
19600,1,1,124,0,43,26.0,2017
19610,0,1,30,0,33,70.0,2021
19614,1,1,259,0,6,31.5,2020
19617,1,1,208,69900,29,33.89,2013
19626,0,2,14,0,36,45.0,2016
19628,0,2,21,0,12,18.058,2017
19657,0,2,16,53400,45,41.0,2019
19666,0,1,47,0,48,28.1,2019
19673,0,2,14,0,5,45.0,2016
19682,0,2,19,0,36,106.0,2021
19685,1,1,293,0,12,102.0,2020
19688,0,1,53,0,1,26.0,2019
19691,0,2,26,0,33,33.0,2020
19695,1,0,0,0,22,33.5,2022
19701,1,1,234,0,1,52.9,2019
19711,0,2,26,28500,19,22.0,2019
19725,1,1,93,31950,40,20.0,2016
19728,0,2,26,0,44,33.0,2020
19732,1,1,238,0,39,90.0,2018
19736,0,1,72,0,37,19.0,2016
19738,1,0,0,0,26,136.8,2022
19743,1,1,234,0,5,52.9,2019
19749,1,1,58,0,3,13.4,2017
19763,0,2,21,0,41,40.0,2021
19768,1,1,258,0,2,27.0,2020
19775,0,2,12,36800,8,22.0,2018
19779,0,2,20,0,31,21.0,2017
19782,0,1,53,0,44,21.998,2018
19785,1,1,239,0,12,25.0,2019
19787,1,1,111,33950,11,16.251,2018
19788,1,0,0,0,42,42.8,2021
19796,1,1,222,0,47,51.573,2021
19812,1,1,234,0,48,69.2,2020
19816,1,1,93,32250,28,15.2,2017
19820,1,1,83,0,22,13.115,2016
19852,0,1,32,39995,8,38.0,2019
